,Conditions,Task,User,Scale,Results
452,65.0,Squeeze,User7,Large,4.0
453,65.0,Compress,User7,Large,4.0
454,10.0,Squeeze,User7,Large,4.0
455,10.0,Compress,User7,Large,-4.0
456,12.0,Squeeze,User7,Large,-4.0
457,12.0,Compress,User7,Large,4.0
458,14.0,Squeeze,User7,Large,4.0
459,14.0,Compress,User7,Large,-4.0
460,16.0,Squeeze,User7,Large,-4.0
461,16.0,Compress,User7,Large,-4.0
462,18.0,Squeeze,User7,Large,-4.0
463,18.0,Compress,User7,Large,-4.0
464,20.0,Squeeze,User7,Large,-4.0
465,20.0,Compress,User7,Large,-4.0
466,22.0,Squeeze,User7,Large,-4.0
467,22.0,Compress,User7,Large,-4.0
468,24.0,Squeeze,User7,Large,4.0
469,24.0,Compress,User7,Large,4.0
470,1.0,Squeeze,User7,Large,-4.0
471,1.0,Compress,User7,Large,-4.0
472,6.0,Squeeze,User7,Large,-4.0
473,6.0,Compress,User7,Large,-4.0
474,70.0,Squeeze,User7,Large,4.0
475,70.0,Compress,User7,Large,4.0
476,75.0,Squeeze,User7,Large,4.0
477,75.0,Compress,User7,Large,4.0
478,25.0,Squeeze,User7,Large,-4.0
479,25.0,Compress,User7,Large,4.0
480,30.0,Squeeze,User7,Large,4.0
481,30.0,Compress,User7,Large,4.0
482,35.0,Squeeze,User7,Large,4.0
483,35.0,Compress,User7,Large,-4.0
484,40.0,Squeeze,User7,Large,-4.0
485,40.0,Compress,User7,Large,4.0
486,45.0,Squeeze,User6,Large,4.0
487,45.0,Compress,User6,Large,4.0
488,47.0,Squeeze,User6,Large,-4.0
489,47.0,Compress,User6,Large,-4.0
490,49.0,Squeeze,User6,Large,4.0
491,49.0,Compress,User6,Large,4.0
492,51.0,Squeeze,User6,Large,-4.0
493,51.0,Compress,User6,Large,4.0
494,53.0,Squeeze,User6,Large,-4.0
495,53.0,Compress,User6,Large,4.0
496,55.0,Squeeze,User6,Large,-4.0
497,55.0,Compress,User6,Large,4.0
498,57.0,Squeeze,User6,Large,-4.0
499,57.0,Compress,User6,Large,4.0
500,59.0,Squeeze,User6,Large,4.0
501,59.0,Compress,User6,Large,4.0
502,61.0,Squeeze,User6,Large,-4.0
503,61.0,Compress,User6,Large,4.0
504,63.0,Squeeze,User6,Large,4.0
505,63.0,Compress,User6,Large,4.0
506,65.0,Squeeze,User6,Large,-4.0
507,65.0,Compress,User6,Large,4.0
508,10.0,Squeeze,User6,Large,4.0
509,10.0,Compress,User6,Large,-4.0
510,12.0,Squeeze,User6,Large,-4.0
511,12.0,Compress,User6,Large,4.0
512,14.0,Squeeze,User6,Large,4.0
513,14.0,Compress,User6,Large,-4.0
514,16.0,Squeeze,User6,Large,4.0
515,16.0,Compress,User6,Large,-4.0
516,18.0,Squeeze,User6,Large,4.0
517,18.0,Compress,User6,Large,-4.0
518,20.0,Squeeze,User6,Large,-4.0
519,20.0,Compress,User6,Large,4.0
520,22.0,Squeeze,User6,Large,-4.0
521,22.0,Compress,User6,Large,4.0
522,24.0,Squeeze,User6,Large,4.0
523,24.0,Compress,User6,Large,-4.0
524,1.0,Squeeze,User6,Large,-4.0
525,1.0,Compress,User6,Large,-4.0
526,6.0,Squeeze,User6,Large,-4.0
527,6.0,Compress,User6,Large,-4.0
528,70.0,Squeeze,User6,Large,-4.0
529,70.0,Compress,User6,Large,-4.0
530,75.0,Squeeze,User6,Large,-4.0
531,75.0,Compress,User6,Large,4.0
532,25.0,Squeeze,User6,Large,-4.0
533,25.0,Compress,User6,Large,4.0
534,30.0,Squeeze,User6,Large,4.0
535,30.0,Compress,User6,Large,4.0
536,35.0,Squeeze,User6,Large,-4.0
537,35.0,Compress,User6,Large,-4.0
538,40.0,Squeeze,User6,Large,4.0
539,40.0,Compress,User6,Large,4.0
540,45.0,Squeeze,User5,Large,4.0
541,45.0,Compress,User5,Large,4.0
542,47.0,Squeeze,User5,Large,-4.0
543,47.0,Compress,User5,Large,-4.0
544,49.0,Squeeze,User5,Large,4.0
545,49.0,Compress,User5,Large,4.0
546,51.0,Squeeze,User5,Large,4.0
547,51.0,Compress,User5,Large,4.0
548,53.0,Squeeze,User5,Large,4.0
549,53.0,Compress,User5,Large,4.0
550,55.0,Squeeze,User5,Large,4.0
551,55.0,Compress,User5,Large,4.0
552,57.0,Squeeze,User5,Large,-4.0
553,57.0,Compress,User5,Large,4.0
554,59.0,Squeeze,User5,Large,4.0
555,59.0,Compress,User5,Large,4.0
556,61.0,Squeeze,User5,Large,4.0
557,61.0,Compress,User5,Large,4.0
558,63.0,Squeeze,User5,Large,4.0
559,63.0,Compress,User5,Large,4.0
560,65.0,Squeeze,User5,Large,4.0
561,65.0,Compress,User5,Large,4.0
562,10.0,Squeeze,User5,Large,-4.0
563,10.0,Compress,User5,Large,-4.0
564,12.0,Squeeze,User5,Large,-4.0
565,12.0,Compress,User5,Large,-4.0
566,14.0,Squeeze,User5,Large,4.0
567,14.0,Compress,User5,Large,-4.0
568,16.0,Squeeze,User5,Large,-4.0
569,16.0,Compress,User5,Large,-4.0
